Year	Zone	Date	Tow_number	Lat	Lon	Commercial_count	Commercial_weight	Commercial345_count	Commercial345__weight	Area_swept	Zone_date_tow	Depth	Temperature	grid	intended grid	Tow_quality	boat	primary_or_alternate	Station ID	minilog file	esonar file	Headline num	Tilt num	depth (fathoms)	females	males	total count
2015	Zone19	15/10/2015	2	46.847513	-61.041903	10	6.688060931	5	3.625384385	2516	Zone19-15/10/2015-2	102.4128	2.4	AI27	AI27	1	JM	P	318	bin6387.185	GP318F	C8052GP318F.005	H0633GP318F.014	56	24	156	180
2015	Zone19	14/10/2015	3	46.83066	-60.899688	22	14.22833282	18	11.14123827	3507	Zone19-14/10/2015-3	89.6112	2.4	AI28	AI28	1	JM	P	330	bin6387.182	GP330F	C8052GP330F.001	H0633GP330F.011	49	32	75	107
2015	Zone12	05/08/2015	4	46.970502	-63.641772	0	0	0	0	2477	Zone12-05/08/2015-4	45.72	0.2	AJ11	AJ11	1	JM	P	77	bin6385.136	GP077F	C8049GP077F.029	H0615GP077F.083	25	0	2	2
2015	Zone12	05/08/2015	3	46.971415	-63.558793	0	0	0	0	1826	Zone12-05/08/2015-3	45.72	-0.1	AJ12	AJ12	1	JM	P	84	bin6385.135	GP084F	C8049GP084F.028	H0615GP084F.082	25	0	1	1
2015	Zone12	04/08/2015	3	46.912132	-63.317395	5	2.777532186	0	0	2595	Zone12-04/08/2015-3	56.6928	-0.6	AJ13	AJ13	1	JM	P	113	bin6385.123	GP113F	C8049GP113F.016	H0615GP113F.070	31	53	80	133
2015	Zone12	04/08/2015	4	46.95977	-63.198763	20	11.80627873	1	0.37923784	2467	Zone12-04/08/2015-4	58.5216	-0.6	AJ14	AJ14	1	JM	P	127	bin6385.124	GP127F	C8049GP127F.017	H0615GP127F.071	32	86	162	248
2015	Zone12	02/08/2015	11	46.92485	-63.018957	5	2.789062537	3	1.312284603	2774	Zone12-02/08/2015-11	60.3504	-0.6	AJ15	AJ15	1	JM	P	149	bin6385.107	GP149F		H0615GP149F.054	33	9	208	217
2015	Zone12	02/08/2015	10	46.942427	-62.915157	7	3.306618837	7	3.306618837	1631	Zone12-02/08/2015-10	60.3504	-0.4	AJ16	AJ16	1	JM	P	158	bin6385.106	GP158F	C8000GP158F.014	H0615GP158F.053	33	62	49	111
2015	Zone12	02/08/2015	9	46.989658	-62.766608	14	7.126463495	14	7.126463495	2513	Zone12-02/08/2015-9	62.1792	-0.9	AJ17	AJ17	1	JM	P	176	bin6385.105	GP176F	C8000GP176F.013	H0615GP176F.052	34	171	55	226
2015	Zone12	02/08/2015	6	46.935842	-62.539163	2	0.819451436	2	0.819451436	2444	Zone12-02/08/2015-6	62.1792	-0.6	AJ18	AJ18	1	JM	P	198	bin6385.102	GP198F	C8000GP198F.010	H0615GP198F.049	34	2	136	138
2015	Zone12	02/08/2015	5	46.931178	-62.376142	1	0.415914087	0	0	2685	Zone12-02/08/2015-5	62.1792	-0.7	AJ19	AJ19	1	JM	P	215	bin6385.101	GP215F	C8000GP215F.009	H0615GP215F.048	34	22	38	60
2015	Zone12	11/09/2015	2	46.966422	-62.170673	0	0	0	0	2165	Zone12-11/09/2015-2	53.0352	-0.2	AJ20	AJ20	3	JM	A1	229	bin6387.051	GP229A1	C8049GP229A1.177	H0661GP229A1.263	29	2	11	13
2015	Zone12	11/09/2015	5	46.90912	-61.999913	0	0	0	0	2240	Zone12-11/09/2015-5	53.0352	-0.1	AJ21	AJ21	3	JM	A1	246	bin6387.054	GP246A1	C8049GP246A1.180	H0661GP246A1.266	29	1	7	8
2015	Zone12	02/09/2015	5	46.969892	-61.940748	1	0.580501958	0	0	2596	Zone12-02/09/2015-5	45.72	0.7	AJ22	AJ22	3	JM	A1	252	bin6387.013	GP252A1	C8049GP252A1.138	H0661GP252A1.224	25	6	14	20
2015	Zone12	09/10/2015	5	46.926662	-61.623965	17	10.44915953	4	2.053552579	2275	Zone12-09/10/2015-5	49.3776	0.2	AJ23	AJ23	1	JM	P	279	bin6387.155	GP279F	C8054GP279F.078	H0616GP279F.052	27	42	173	215
2015	Zone12	09/10/2015	7	46.900667	-61.462693	3	1.745479409	1	0.533624528	3379	Zone12-09/10/2015-7	58.5216	-0.1	AJ24	AJ24	1	JM	P	291	bin6387.157	GP291F	C8054GP291F.080	H0616GP291F.054	32	28	66	94
2015	Zone12	09/10/2015	3	46.961897	-61.39941	1	0.383621111	1	0.383621111	2608	Zone12-09/10/2015-3	49.3776	-0.1	AJ25	AJ25	1	JM	P	296	bin6387.153	GP296F	C8054GP296F.076	H0616GP296F.050	27	48	94	142
2015	Zone19	15/10/2015	1	46.911987	-61.149657	2	1.468474448	2	1.468474448	3077	Zone19-15/10/2015-1	62.1792	0.6	AJ26	AJ26	1	JM	P	309	bin6387.184	GP309F	C8052GP309F.003	H0633GP309F.013	34	41	35	76
2015	Zone19	14/10/2015	4	46.938597	-61.005293	2	1.282809456	0	0	3438	Zone19-14/10/2015-4	98.7552	2.6	AJ27	AJ27	1	JM	P	322	bin6387.183	GP322F	C8052GP322F.002	H0633GP322F.012	54	72	47	119
2015	Zone19	07/10/2015	11	46.981008	-60.809277	3	1.834547823	1	0.379966017	2422	Zone19-07/10/2015-11	137.16	4.1	AJ28	AJ28	1	JM	P	336	bin6387.150	GP336F	C8054GP336F.073	H0616GP336F.047	75	15	42	57
2015	Zone12	05/08/2015	13	47.083645	-64.185515	1	0.595847795	0	0	2870	Zone12-05/08/2015-13	40.2336	0.5	AK08	AK08	1	JM	P	26	bin6385.145	GP026F	C8049GP026F.038	H0615GP026F.092	22	69	84	153
2015	Zone12	05/08/2015	5	47.099999	-63.709203	0	0	0	0	3120	Zone12-05/08/2015-5	54.864	-1	AK11	AK11	1	JM	P	68	bin6385.137	GP068F	C8049GP068F.030	H0615GP068F.084	30	36	53	89
2015	Zone12	05/08/2015	2	47.106442	-63.572457	0	0	0	0	3222	Zone12-05/08/2015-2	54.864	-0.6	AK12	AK12	3	JM	A2	88	bin6385.134	GP088A2	C8049GP088A2.027	H0615GP088A2.081	30	0	0	0
2015	Zone12	04/08/2015	11	47.06671	-63.371877	1	0.378389495	0	0	2811	Zone12-04/08/2015-11	53.0352		AK13	AK13	1	JM	P	106	bin6385.131	GP106F	C8049GP106F.024	H0615GP106F.078	29	5	8	13
